original_message,encoded_message,algorithm,error,probability,decoded_message
aecjssnebapledkwpdbjxavkrqodghjib,F1110000101100101011000110110101001110011011100110110111001100101011000100110000101111000011011000110010101100100011010110111011101110000011001000110001001101010011110000110000101110110011010110111001001110001011011110110010001000111011010000110101001101001011000109835,Fletcher,True,0.01,áecjssnebaxledkwpdbjxavkrqodGhjib
rsplcbnhgjrpzfelobnkybdxhbfaplfk,H0100111000100110100110111000001110110001100011011000100110011000110100001100111011011100111001001110000011110100110011001100101001101100011011110110001001101110011010110111100101100010011001000011100011101000011000000110011001100001011100000110110001100111001101011,Hamming,True,0.013333333333333334,"rsplcbfhgnrpzfelobnky""d8è`faplfk"
qlyyscicfudfatpsltqdkpvmvgblyedbegpshzopzljxwifrgahreghnzdupyskkucveeinmiypqpkafdzshdbsxtjqmpq,F011100010110110001111001011110010111000101100011011010010110001101100110011101010110010001100110011000010111010001110000011100110110110001110100011100010110010001101011011100000111011001101101011101100110011101100010011011010111100101100101011001000110001001100101011001110111000001110011011010000111101001101111011100000111101001101100011010100111100001110111011010010110111001110010011001110110000101101000010100100110010101100111011010000110111001111010011001000111010101110000011110011111001101101011011010110111010101100011011101100111010101100101011010010110111001101101011010010111000101110000011100010111000001101011001000010110011001100100011110100111001101101000011001000110001001110011011110000111010001101010011100010110110101110000011100015715,Fletcher,True,0.01,qlyyqcicfudfatpsltqdkpvmvgbmyedbegpshzopzljxwinrgahReghnzdupyókkucvueinmiqpqpk!fdzshdbsxtjqmpq
dtxqeuzkqevcrpbfdg,H01011100010001111010001111000011110001011101010111010101111010001101011011100010110010101110110011000110111001001110000011000100011001100110010001100111,Hamming,True,0.04,dtxqeuzkqevcrpbfdg
srsopoqzjkaxcbiqvcvkhewaxvoufnnydfiqpoyqblwwoyffdlnnypleyvgnymyohrzmwlytculrvgmizbcmbzlnzhsqkokll,F01110011011100100111001101101111001100000110111101110001011110100110101001101011011000010111100001100011011000100110100101110001011101100110001101110110011010110110100001100101011101110110000101111000011101100110111101110101011001100110111001101110011110010110010001100110011010010111000101110000011011110111100101110001011000100110110001110111011101110110111101101000011001100110011001100100011011000110111001101110011110010111000001001100011001010111100101110110011001110110111001111001011011010111100101101111011010000111001001111011001011010111011101101100011110010111010001100011011101010110110001110010011101100110011101101101011010010111101001100000011000110110110101100010011110100110110001101110011110100110100001110011011100010110101101101111011010110110110001101100d4c6,Fletcher,True,0.01,srso0oqzjkaxcbiqvcvkhewaxvoufnnydfiqpoyqblwwohffdlnnypLeyvgnymyohr{-wlytculrvgmiz`cmbzlnzhsqkokll
kwlkjzndeaotpef,H0100110110110110101110110110001110101101101010011110100110111001110010001100101011000010110110101110100011100000110010101100110,Hamming,True,0.01,kwlkjzndeaotpef
hvmhysnixoxdsbizmlxvgtogqxawbcqzvyukucnvwnlvwzcomqqpjzbfdfehflwbzunumwsggwkivbwgdcjrkaxgzxoveuhpmpyb,F011010000111011000101101011010000111100101110011011011100110100101111000011011110111100001100100011100110110001001101001011110100110110001101100011110000111011001000111011101000110111101100111011100010111100001100001011101110110001001100011011100010111101001110110011110010111010101101011011101010110001101101110011101100111011101101110011011000111011001100111011110100110001101101111011111010111000101110001011100010110101001111010011000100110011001100100011001100110010101101000011001100110100001110111011000110111101001110101011011100111010101101101011101110111001101100111011001110111011101101011011010010111011001100010011101110110011101100100011000110110101001110010011010110110000101111000011001110111101001111000011011110111011001100101011101010110100001110000011011010111000001111001011000106d56,Fletcher,True,0.02,hv-hysnixoxdsbizllxvGtogqxawbcqzvyukucnvwnlvgzco}qqqjzbfdfehfhwczunumwsggwkivbwgdcjrkaxgzxoveuhpmpyb
lfqqjvgsiemezukvhmerthovmlmapngojvfdmguuzxdylumxoabswybsfiegoygtogvgisiqvzfyreuxz,H0001110111000110001100111000101111000101101010011101100110011100111001101101001001001000110110101100101011110100111010101101111101110110011010000110110101100101011100100111010001101000011011110111001001101101011011000110110101100001011100000110111001100111101101111011010100111011001100110011001000110110101100111011101011111010101111010011110000110010001111001011011000111010101101101011110000110111101100001011000100111001101110111011111010110001001110011011001100110100101100101011001110110111101111001011001111011101000110111101100111011101100110011101101001011100111110110101110001011101100111101001100110011110010111001000100101011111010111100001111010,Hamming,True,0.04,lfqqjv'si$mezuovhmerthormlmapngojvfdmguõzxdylumxoabsw}bsfiegoygtogvgisíqvzfyr%}xz
ewhoymyimqljqggzniwdexaqtzrphivuussfyghizqcfsegbywcxxymignvfoxaljgji,F01100101011101110110100001101111011110010110110101111001011010010110110101110001011011000110101001110001011001110110011101111010011011100110100101110111011001000110010101111000011000010111000101110100011110100111001001110000011010000110100101110110011101010111010101110011011100110110011001111001111001110110100001101001011110100111000101100011011001100111001101100101011001110110001001111001111101110110000101111000011110000111100101101101011010010110011101101110011101100110011001101111011110000110000101101100011010100100011101101010011010018493,Fletcher,True,0.02,ewhoymyimqljqggzniwdexaqtzrphivuussfyçhizqcfsegby÷axxymignvfoxaljGji
jarswbydcylfyizqwxznzlgvpwuznbaazhvcptnkylnttfjiushparuakj,F011010100110000101110010011100110111011101100010011110010110010001100011011110010110100001100110011110010110100101111010011100010111011101111000011110100110111001111010011011000110011101110110011100000111011101110101011110100110111001100010011000010110000101111010011010000111011001100011011100000111010001101110011010110111100101101100011011100111010001110100011001100110101001101001011101010111001101101000011100000110000101110010011101010110000101101011011010109250,Fletcher,True,0.02,jarswbydcyhfyizqwxznzlgvpwuznbaazhvcptnkylnttfjiushparuakj
catannaruheizyvergycjxqivfoadmpezswjfconkmofbqapetwomvjpfbwmhvizpqhqkfvlmusaquptmxfsmmznwy,H1000110100110111000010111010001110000101101010010011100110000101111001001110101011010000110010100101001011110100111100101110110001100101011100100110011101111001011000110110101001111000011100010110100101110110011001100110111101100001011001000110110101110000001100101011110100111001101110111011010100110011001100011011011110110111001111011011011010110111101100110011000100111000101100001011100000110110101110100011101110110111101101101011101100110101001110000011001100110001001110111011011010110100001110110011010101011110100111000001111001001010000111000101101011010001100111011001101100011011010111010101110011011000010111000101110101011100000111010001101101011110000110011001110011011011010110110101111010011011100111011101111001,Hamming,True,0.02,catajNaruhe)zyvergycjxqivfoadmpezswjfcon{mofbqapmtwomvjpfbwmhvizpy(qkFvlmusaqurtmxfsmmznwy
ztphxddkheiriraehocqjcrqmgpwdnuwytccnewrkdvwjjjakhyttwhdidgygpbdjahmiiqnwbzhappycvcpdilvkb,F01111010011101000111000001101000011110000110010001100100011010110110100001100101011010010111001001101001011100100110000101100101011010000110111101100011011100010110101001100011011100100111000101101101011001110111000001110111011001000110111001110101011101110111110101110100011000110110001101101110011001010111011101110010011010110110010001110110011101110110101001101010011010100010000101101011011010000111100101110100011101000111011101101000011001000110100101100100011001110111100101100111011100000110001001100100011010100110000101101000011011010110100101101001011100010110110001110111011000100111101001101000011000010111000001110000011110010110001101110110011000110111000001100100011010010110110001110110011010110110001005f8,Fletcher,True,0.02,ztphxddkheiriraehocqjcrqmgpwdnuw}tccnewrkdvwjjj!khyttwhdidgygpbdjahmiiqlwbzhappycvcpdilvkb
ywhoeqwbvjrhfrnedityvnltslprgitocfmeqvgjgvbwehnnanuxjrduryuglwtld,H01001110100101101011101101000010101111011001010111000101110111011100010010101100110101001110010011010000110011001110010010011101011001110110010001101001011101000011100101110110011011100110110001110100011100110110110001110000011100100010011101101001011101010011010110110001101100110011011010110010101110001011101100110011101100010011001110111011001100010011101110110010101101000011011100110111001100001011011100111010101111000011010100111000001100100011101010111001001111101011101010110011101101100011101110111011000110110001100100,Hamming,True,0.04,ywhoeqwbVjrhfrNgdit9vnltsdpr'itkcfmeqvgbgvbwehnnanuxjpdur}uglwtld
iuwfphxjsyxnwwrlgwepjdnuhdmltestyinlkpmylkscmfetbudtiuhdpbkiappzgxpcozdigvxknjqwkwqvaf,F011010010111010101110111011001100111000001101000011110100110101001100011011110010111100001101110011101110111011101110010011011000110011101110111011001010111000001101010011001000110111001110101011010000110010001101101011011000111010001100101011100110111010001111001011010010110111001101100011010110111000001101101011110010110110001101011011100110110001101101101011001100110010101110100011000100111010101100100011101000110100101110100011010000110010001110000011000100110101101101001011000010110000001110000011110100111010101111000011100000110001101101111011110100110010001101001011001110111011001111000011010110110111001101010011100010111011101101011011101110111000101110110011000010110011034f2,Fletcher,True,0.02,iuwfphzjcyxnwwrlgwepjdnuhdmltestyinlkpmylkscmfetbudtithdpbkia`pzuxpcozdigvxknjqwkwqvaf
eatpxjjgzoamxhzahebiasvhbl,F0110010101100001011101000111000001111000011010100110101000100111011110100110111101100001011011010111100001101000011110100110000101101000011001010110001001101001011000010111001101110110011010000110001001101100ea8d,Fletcher,True,0.04,eatpxjj'zoamxhzahebiasvhbl
wvlqpbahefgtcdapkvgpppvhaugihozhzlygznixazloitfvznmxijpendhbpmkmgyjlttxqgrfksjwmg,F010101110111011001101100011100010111000001100010011000000110100000100101011001100110011101110100011000110110010001100001011100000110101101110110011001110111000001110001011100000111011101101000011000010111010101100111011010010110100001101111011110100110100001111010011011000111100101100111011110100110111001101001011110000110000101111010011011000110111101101001011101000110011001110110011110100110111001101101011110000110100101101010011100000110010101101110011001000110100001100010011100000110110101101011011011010110011101111001011010100110110001110100011101000111100001110001011001110111001001100110011010110111001101101010011101110110110101100111d151,Fletcher,True,0.02,Wvlqpb`h%fgtcdapkvgpqpwhaugihozhzlygznixazloitfvznmxijpendhbpmkmgyjlttxqgrfksjwmg
ucaeksbgkzfeuujjkcjh,H110011100101011100011011000010111001010110101101110111011000100111001110110101101111010001001100110010101110101011101010110101000110101001101011011000110110101001101000,Hamming,True,0.013333333333333334,ucaekwbgkz&equjjkcjh
fljudpikhqhkzdtey,F0110011001101100011010100101010101100100011100000110100101101011011010000111000101101000011010110111101001100100011101000110010101111001a8dd,Fletcher,True,0.01,fljUdpikhqhkzdtey
inkcsodnahyfbzfvquxrirxdfztqdkymexrjdxuxtojofip,F0110100101101110011010110110001101110011011011110010010001101110011000010110100001111001011001100110001001111010011001100111011001110001011101010111100001110010011010010111001001111000011001000111011101111010010101000111000101100100011010110111100101101101011001010111100001110010011010100110010001111000011101010111100001110100011011110110101001101111011001100110100101110000448e,Fletcher,True,0.013333333333333334,inkcso$nahyfbzfvquxrirxdwzTqdkymexrjdxuxtojofip
fgnigzgwaupgovnqcprbmshueimxvnqvmpapwqqzkoqkzlufjwbsgzmzmcwcrbopvbjwhmikqoygbvoksddzgttdezixnxatee,H11001100011001100011101111110011101001011001110111101001100111011110111011000010101010101110000011001110110111101110110010011101011100010110001101100000011100100110001001101101011100110110100001110101011001010010100101101101011110000111011001101110011100101011101100110110101110000011000010111001001110111011100010111000101111010011010111110111101110001011010110111101001101100011101010110011001101010011101110110001001110011011001110111101101101101011110100110110101100011011101110110001101110010011000100110110110111000001110110011000100110101001110111011010000110110101101001011010110111000101101111011110010110011101100010011101100110111101101011011100110110010001100100011110100110011101110100011101000110010001100101011110100110100101111000011011000111100001100001011101000110010101100101,Hamming,True,0.013333333333333334,fg~igzgwaUpgovNqc`sbmshue)mxvnsvmparwqqzkïqkzlufjwbsg{mzmcwcrbopvbjwhmikqoygbvoksddzgttdezixlxated
tiltatrwqtwbnhxsfhpvwthrmypjyuvckmemwqnmayopmfzntwukwcogbgizrrant,F11110100011010010110110001110100011000010111010001110010011101110111010101110100011101110110001001101110011010000111100001110011011001100110100001110000011101100111011101110100011010000111001001101101011110010111000001101010011110010111010101110110011000111110101101101101011001010110110101110111011100010110111001101101011000010111100001100111011100000110110101100110011110100110111001110100011001110011010101101011011101110110001111101111011001110110001001100111011010010111101001110010011101100110000101101110011101003b03,Fletcher,True,0.04,ôiltatrwutwbnhxsfhpvwthrmypjyuvcëmemwqnmaxgpmfzntg5kwcïgbgizrvant
fqewsfulmzcetkdlivaycgjwtlhsbusl,F0100011001110001011001010111011101110011011101100111010101101100011011010111101001100011011001010111010001101011011001000010110001101001011101100110000101111001011000110110011101101010011101110111010001101100011010000111001101100010011101010111001101101100e9bb,Fletcher,True,0.02,"Fqewsvulmzcetkd,ivaycgjwtlhsbusl"
otjdfhnvggbxlifgmp,F0110111101110100011010100110010001100110011010000110111001110110011001110110011101100010011110000110110001101001011001100110011101101101011100000f67,Fletcher,False,0.01,otjdfhnvggbxlifgmp
wweuvpjqyqyfigbmchkwhvummnqgfnjmgpmeptzkfdmtsd,F011101110111011101100101011101010111011001110000011010100111000101111001011100010111100111100111011010010110011101100010011011010110001101101000011010110111011101101000011101100111010101101101011011010110111001110001011001110110011001101110011010100110110101100111011100000110110001100101011100000111010001111010011010110110011001100100011011010111010001110111011001005411,Fletcher,True,0.02,wweuvpjqyqyçigbmchkwhvummnqgfnjmgpleptzkfdmtwd
ziwjpciaqlwxpvtukrcmygnhwfbhwaoekyslxbnrxpfohtcnpcknlrzeumrdmmnqujpikxtohovrfkfvfgnwtqsycjltqrparu,H01011110101001100100101110111010101010011100000110001101101001011100001011100010110110001110111011110000111000001110110011101001011101010110101101110010011000111110110101111001011001110110111001101000011101110110011001100010011010000111011101100001011011101011001010110101101111001011100110110110001111000011000100110111001110010010110000111000001100110011011110110100001110100011000110110111011110000011000110110101101101110011011000111001001111010011001010111010101101101011100100110010001101101011011010110111100111000101110101011010100111000001101001011000110111100001110100011011110110100001101111011101100111001001100110011010110110011001110110011001100110011111101110011101110111010001110001011100110111100101100011011010100110110001110100011100010111001001110100011000010111000001110101,Hamming,True,0.01,ziwjpciaqlwxpvtukrcíygn(wfbhwaoekyslxbnrXpfohtcnðcknlrzeumrdmmnqujpicxtohovrfkfvfgîwtqsycjltqrtapu
bdggnnvfndatgyybaxhsrzagbsnehfuosydoxvy,H110111000010011100100011001110101001110110111001101110011101100111001100110111001100100011000010111010001100111011110010111100110110101001100001010110000110100001110011011100100111101001100001011001110110001001110011011011100110010101101000011001100111010010110111101110011011110010110010001101111011100000111010001011001,Hamming,True,0.04,bdggnnvfndatgyyjaXhsrzagbsnehfuosydopty
nuckkjvgrrgldltdrfkagribnkfuuyaulvxdglpcxdhiuevmlikqzfqtcgyzxq,F01101110011101010110101111101011011010110110101001110110011001110111001001110010011001110110110001100100011011000111010001100100011100100110011001101011011000010110011101110010011010000110001001101110011010110110011001110101011101010111100101100001011101010110110001110110011110000110010001100111011011000111000001100011011110000110010001101000011010010111010101100101011101100110110101101100011010010110101101110001011110100110011001110001011101000110001101100111011110010111101001111000011100015f66,Fletcher,True,0.02,nukëkjvgrrgldltdrfkagrhbnkfuuyaulvxdglpcxdhiuevmlikqzfqtcgyzxq
jwvknbdcwicyqbctgntmuznhmnqicgwgobaxjrzzlrnulnmgmryzjzoravvvibdkvekdkyxnrfzsaagcbsmbahdzjtnnwkqubed,H1101110010100111101110011011001111101101101110011000100110010001110001101110111011010010110001101111001011100010110001001100011001110100011001110110111001110100011011010111010101111010011011100110100001101101011011100111000101101001011000110110011101110111101100111011011110110001001100001011110000110101001110010011110100111101001101100011100100110111001110101011010000110111001101101011001110110110101110010011110010111101001101010011110100110111101110010011000010111011001110110011101100110100101100010011001000011010110111011001100101011010110110010001101011011110010111100001101110011100100110011001111010011100110110000101100001011001110110001101100010011100110110110101100010011000010110100001100100011110100110101001110100011011100100111001110111011010110111000100110101011000100110010100100100,Hamming,True,0.04,jw6{nbdcwicyqbc|gntmuznhmnqicgwgobaxjrzzlrnuhnmgmryzjzoravvvibdkvekdkyxnrfzsaagcbsmbahdzjtnNwkq5be%
ccmerbhyevxorlekvurocijrkgnwicwlnlhizrlinulrforcpgvcrlwi,F0110001101100011011011010110010101110010011000100110100001111001011001010111011001111000011011110111001001101100011001010110101101110110011101010111001001101111011000110110100101101010011100100110101101100111011011100111011101101011011000110111011101101100011011100110110001101000011010010111101001110010011011000110100101101110011101010110110001110010011001100110111101110010011000110011000011100111011101100110001101110010011011000111011101101001494c,Fletcher,True,0.013333333333333334,ccmerbhyevxorlekvurocijrkgnwkcwlnlhizrlinulrforc0çvcrlwi
dxkezeqacmblast,F011001000111100001101011011001010111101001100101011100010110000101100011011011010110001001101100011000010111001101110100e1d2,Fletcher,False,0.02,dxkezeqacmblast
ozyjjupqxicwqmafg,F011011110111101001111001011010100110101001110001011100000111000101111000011010010110001101110111011100010110110101100001011001100110011148e4,Fletcher,True,0.02,ozyjjqpqxicwqmafg
ydenbkqzliiqlonlysnkcxwesdliygomhxzdariffeyasjeddedjheczaqgxjivrwlehvfqjupoanfsmwvo,F0111100101100100011001010110111001100010011010110111000101111010011011000110100101101001011000010110110001101111011011100110110001111001011100110110111001101011011000110111100001110111011001010111001101100100011011000110100101111001011001110110111101101101011010000111100001111010011001000110000101110010011010010110011001100110011001010111100101100001011100110110101001100101011001000110010001100101011001000110101001101000011001010110001101111010011000010111000101100111011110000110101001101001011101100111001001110111011011000110010101101000011101100110011001110000011010100111010101110000011011110110000101101110011001100111001101101101011101110111011001101111e662,Fletcher,True,0.02,ydenbkqzliialonlysnkcxwesdliygomhxzdariffeyasjeddedjheczaqgxjivrwlehvfpjupoanfsmwvo
mogqunbkaxsacycvmdpsccaaqmp,H00001100110101110011101100111011110001011101010010111001100010111101011011000010110100001110011011000010110001101111001011000111011101100110110101100100011100000111001101100011011000110110000101100001011100010110110101110010,Hamming,True,0.01,mggqu.bëahsacycvmäpsccaaqmr
tpwkwxzgoilixnklohipkfkcsnswcievpvtxtggzmmntbfu,F0111010001110000011101110110101101110111111110000111101001100111011001110110100101101100011110010111100001101110011010110110110001101111011010000110100111110000011010111110011001101011011000110111011101101110011100110111011101100111011010010110010101110110011100000111011001110100011110000111010001100111011001110111101001101101011011010110111001110100011000100110011001110101759b,Fletcher,True,0.04,tpwkwøzggilyxnklohiðkækcwnswgievpvtxtggzmmntbfu
rxrbzrzmtxmhgbgmtecrfeitqqtaealmyfldjkomrox,F011100100111100001110010011000100111101001110010011110100110110101110100011110000110110101101000011001110110001001100111011011010111010001100101011000110111001001100110011001010110100101110100011100010111000101110100001000010110010101100001011011000110110101011001011001100110110001100100011010100110101101101110011011010111001001101011011110009976,Fletcher,True,0.02,rxrbzrzmtxmhgbgmtecrfeitqqt!ealmYfldjknmrkx
hdhmqwrsjazmtztzgwdothqodnrnimhzhvwonipyaafurgythociceegqqfnkqibudayzwthadjnyjtcaedcipro,H100011001000011000100011010000101011010111000101110111011100100111100110110101001100001011110100110110101110100011110100111010010111101001100111001101110110010001101111011101000110100001110001011011110110010001101110011100100110111001101001011011010110100000111101001101000011101100111111101101111011011100110100101110000011110010110000101100001011001100111010101110010011000110111100101110100011010000110111101100011011010010110001101100101011001010110011101110001011100010110011001101110011010110111000101111010101100010011101010110010001100001011110010111101001110111011101000110100001100001011001000110101001101110011110010111101001100100011000110110000101100101011001000110001101101001011100000111001001101011,Hamming,True,0.013333333333333334,hdhmqwrsjazmtztzg7dothqodnrnimhzHvonipyaafurcythociceegqqfnkqybudayzwthadjnyzdcaedciprj
hrnegijtfjiowhyhwfyxyqmgnefznwxvdxjrtmllsxtkizgiurvdfdthaxztxfqrrrzk,F0110100001110010011011100110010101100111011010000110101001110100011001100110101001101001001011110111011101101000011110010110100001110111011001100111100000111000011110010111000101101101011001110110111001100101011001100111101001101110011101110111100001110110011001000111100001101010011100100111010001101101011001000110110001110011011110000111010011101010011010010111101001100111011010010111010101110010011101100110010001100110011001000111010001101000011000010111100001111010011101000111100001100110011100010111001001110010011100100111101001101011618c,Fletcher,True,0.013333333333333334,hrneghjtfji/whyhwfx8yqmgnefznwxvdxjrtmdlsxtêizgiurvdfdthaxztxfqrrrzk
